Name,link to book
       Multiple instance learning : foundations and algorithms    ,https://tinyurl.com/y2cmfubs
       Deep learning : a practitioner's approach    ,https://tinyurl.com/y4zn5sxa
       Deep learning with Python    ,https://tinyurl.com/y4gwjenc
       Neural machine translation    ,https://tinyurl.com/y3pwbqg7
       Machine translation    ,https://tinyurl.com/y38wprpx
       Deep learning with R    ,https://tinyurl.com/y64a4xam
       Proceedings of the eleventh Belgian-Dutch conference on machine learning    ,https://tinyurl.com/y3oe2fff
       Semi-supervised learning    ,https://tinyurl.com/yyy8ggqk
       Semi-supervised learning    ,https://tinyurl.com/y5fspfze
       Quality estimation for machine translation    ,https://tinyurl.com/y6dobnwb
